approach,system,steps,min_total_core,max_total_core,resources,classes,sla
AMPL,system_44,0,68.39,0,10,12,300.0
BNV1-4.0,system_45,4,98.0,98.0,10,12,300.0
BNV1-2.0,system_45,12,76.0,76.0,10,12,300.0
BNV1-1.0,system_45,29,77.0,77.0,10,12,300.0
BNV1-0.5,system_45,56,74.9,74.9,10,12,300.0
BNV2-2.0,system_45,22,73.7,78.0,10,12,300.0
BNV2-4.0,system_45,14,72.8,86.0,10,12,300.0
BNV2-1.0,system_45,36,72.1,76.0,10,12,300.0
AMPL,system_45,0,68.39,0,10,12,300.0
BNV1-4.0,system_46,4,102.0,102.0,10,12,300.0
BNV1-2.0,system_46,4,60.0,60.0,10,12,300.0
BNV1-1.0,system_46,7,44.0,44.0,10,12,300.0
BNV1-0.5,system_46,16,41.5,41.5,10,12,300.0
BNV2-2.0,system_46,7,44.2,50.0,10,12,300.0
BNV2-4.0,system_46,8,65.3,82.0,10,12,300.0
BNV2-1.0,system_46,12,40.9,43.0,10,12,300.0
AMPL,system_46,0,38.95,0,10,12,300.0
BNV1-4.0,system_47,6,130.0,130.0,10,12,300.0
BNV1-2.0,system_47,14,118.0,118.0,10,12,300.0
BNV1-1.0,system_47,31,115.0,115.0,10,12,300.0
BNV1-0.5,system_47,63,115.4,115.4,10,12,300.0
BNV2-2.0,system_47,26,111.3,118.0,10,12,300.0
BNV2-4.0,system_47,17,119.3,126.0,10,12,300.0
BNV2-1.0,system_47,46,111.4,116.0,10,12,300.0
AMPL,system_47,0,102.37,0,10,12,300.0
BNV1-4.0,system_48,6,130.0,130.0,10,12,300.0
BNV1-2.0,system_48,14,118.0,118.0,10,12,300.0
BNV1-1.0,system_48,31,115.0,115.0,10,12,300.0
BNV1-0.5,system_48,63,115.4,115.5,10,12,300.0
BNV2-2.0,system_48,26,111.3,118.0,10,12,300.0
BNV2-4.0,system_48,17,119.3,126.0,10,12,300.0
BNV2-1.0,system_48,46,111.4,116.0,10,12,300.0
AMPL,system_48,0,102.37,0,10,12,300.0
BNV1-4.0,system_49,4,90.0,90.0,10,12,300.0
BNV1-2.0,system_49,8,72.0,72.0,10,12,300.0
BNV1-1.0,system_49,20,74.0,74.0,10,12,300.0
BNV1-0.5,system_49,41,73.5,73.5,10,12,300.0
BNV2-2.0,system_49,19,71.5,76.0,10,12,300.0
BNV2-4.0,system_49,6,71.0,74.0,10,12,300.0
BNV2-1.0,system_49,27,71.7,73.0,10,12,300.0
AMPL,system_49,0,65.29,0,10,12,300.0
BNV1-4.0,system_50,4,118.0,118.0,10,12,300.0
BNV1-2.0,system_50,5,72.0,72.0,10,12,300.0
BNV1-1.0,system_50,13,62.0,62.0,10,12,300.0
